#mapping_set_id: boomer:solution
#mapping_tool: BOOMER
#mapping_date: 2026-03-04
#curie_map:
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  CL: http://purl.obolibrary.org/obo/CL_
#  FBbt: http://purl.obolibrary.org/obo/FBbt_
#  WBbt: http://purl.obolibrary.org/obo/WBbt_
#  ZFA: http://purl.obolibrary.org/obo/ZFA_
#  semapv: https://w3id.org/semapv/vocab/
#  skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
CL:0000255	eukaryotic cell	skos:exactMatch	MESH:D005057		semapv:CompositeMatching	0.7
CL:0000066	epithelial cell	skos:exactMatch	BTO:0000414	epithelial cell	semapv:CompositeMatching	0.9423076923076933
CL:0000066	epithelial cell	skos:exactMatch	CALOHA:TS-2026		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	CARO:0000077		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	FBbt:00000124		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	FMA:66768		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	WBbt:0003672		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	ZFA:0009034		semapv:CompositeMatching	0.7000000000000036
CL:0000066	epithelial cell	skos:exactMatch	BTO:0000414	epithelial cell	semapv:CompositeMatching	0.9423076923076933
CL:0002077	ecto-epithelial cell	skos:exactMatch	FMA:69074		semapv:CompositeMatching	0.7
CL:0002077	ecto-epithelial cell	skos:exactMatch	ZFA:0009385		semapv:CompositeMatching	0.7
CL:0000067	ciliated epithelial cell	skos:exactMatch	FMA:70605		semapv:CompositeMatching	0.7
CL:0000067	ciliated epithelial cell	skos:exactMatch	ZFA:0009035		semapv:CompositeMatching	0.7
CL:0000068	duct epithelial cell	skos:exactMatch	ZFA:0009372		semapv:CompositeMatching	0.7
CL:0002078	meso-epithelial cell	skos:exactMatch	FMA:69076		semapv:CompositeMatching	0.7
CL:0002078	meso-epithelial cell	skos:exactMatch	ZFA:0009388		semapv:CompositeMatching	0.7
CL:0000075	columnar/cuboidal epithelial cell	skos:exactMatch	ZFA:0009038		semapv:CompositeMatching	0.7
CL:0000076	squamous epithelial cell	skos:exactMatch	CALOHA:TS-1249		semapv:CompositeMatching	0.7
CL:0000076	squamous epithelial cell	skos:exactMatch	ZFA:0009039		semapv:CompositeMatching	0.7
CL:0000079	stratified epithelial cell	skos:exactMatch	ZFA:0009042		semapv:CompositeMatching	0.7
