#mapping_set_id: boomer:label_match_candidates
#mapping_tool: boomer-label-match
#mapping_date: 2026-03-04
#curie_map:
#  CL: http://purl.obolibrary.org/obo/CL_
#  BTO: http://purl.obolibrary.org/obo/BTO_
#  skos: http://www.w3.org/2004/02/skos/core#
#  semapv: https://w3id.org/semapv/vocab/
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence
CL:0000017	spermatocyte	skos:exactMatch	BTO:0001275	spermatocyte	semapv:LexicalMatching	0.7
CL:0000018	spermatid	skos:exactMatch	BTO:0001274	spermatid	semapv:LexicalMatching	0.7
CL:0000020	spermatogonium	skos:exactMatch	BTO:0000958	spermatogonium	semapv:LexicalMatching	0.7
CL:0000023	oocyte	skos:exactMatch	BTO:0000964	oocyte	semapv:LexicalMatching	0.7
CL:0000037	hematopoietic stem cell	skos:exactMatch	BTO:0000725	hematopoietic stem cell	semapv:LexicalMatching	0.7
CL:0000038	erythroid progenitor cell	skos:exactMatch	BTO:0004911	erythroid progenitor cell	semapv:LexicalMatching	0.7
CL:0000047	neural stem cell	skos:exactMatch	BTO:0002881	neural stem cell	semapv:LexicalMatching	0.7
CL:0000056	myoblast	skos:exactMatch	BTO:0000222	myoblast	semapv:LexicalMatching	0.7
CL:0000057	fibroblast	skos:exactMatch	BTO:0000452	fibroblast	semapv:LexicalMatching	0.7
CL:0000058	chondroblast	skos:exactMatch	BTO:0003607	chondroblast	semapv:LexicalMatching	0.7
CL:0000059	ameloblast	skos:exactMatch	BTO:0001663	ameloblast	semapv:LexicalMatching	0.7
CL:0000060	odontoblast	skos:exactMatch	BTO:0001769	odontoblast	semapv:LexicalMatching	0.7
CL:0000062	osteoblast	skos:exactMatch	BTO:0001593	osteoblast	semapv:LexicalMatching	0.7
CL:0000066	epithelial cell	skos:exactMatch	BTO:0000414	epithelial cell	semapv:LexicalMatching	0.7
CL:0000091	Kupffer cell	skos:exactMatch	BTO:0000685	Kupffer cell	semapv:LexicalMatching	0.7
CL:0000092	osteoclast	skos:exactMatch	BTO:0000968	osteoclast	semapv:LexicalMatching	0.7
CL:0000094	granulocyte	skos:exactMatch	BTO:0000539	granulocyte	semapv:LexicalMatching	0.7
CL:0000097	mast cell	skos:exactMatch	BTO:0000830	mast cell	semapv:LexicalMatching	0.7
CL:0000099	interneuron	skos:exactMatch	BTO:0003811	interneuron	semapv:LexicalMatching	0.7
CL:0000108	cholinergic neuron	skos:exactMatch	BTO:0004902	cholinergic neuron	semapv:LexicalMatching	0.7
CL:0000113	mononuclear phagocyte	skos:exactMatch	BTO:0001433	mononuclear phagocyte	semapv:LexicalMatching	0.7
CL:0000115	endothelial cell	skos:exactMatch	BTO:0001176	endothelial cell	semapv:LexicalMatching	0.7
CL:0000120	granule cell	skos:exactMatch	BTO:0003393	granule cell	semapv:LexicalMatching	0.7
CL:0000125	glial cell	skos:exactMatch	BTO:0002606	glial cell	semapv:LexicalMatching	0.7
CL:0000127	astrocyte	skos:exactMatch	BTO:0000099	astrocyte	semapv:LexicalMatching	0.7
CL:0000128	oligodendrocyte	skos:exactMatch	BTO:0000962	oligodendrocyte	semapv:LexicalMatching	0.7
CL:0000134	mesenchymal stem cell	skos:exactMatch	BTO:0003298	mesenchymal stem cell	semapv:LexicalMatching	0.7
